parameter,median,hpd_min,hpd_max
n_sr__556,295.2232002152111,233.0755263588386,365.16075854739927
n_sr__555,325.6558967631713,257.1018114247274,402.8028766058546
n_sr__554,350.18384464965237,276.46636122967595,433.1414274016908
n_sr__553,295.2232002152111,233.0755263588386,365.16075854739927
n_sr__552,297.4155163895517,234.8063362880953,367.87242835049864
n_sr__551,269.979883354988,213.14620047946852,333.9373698495875
n_sr__550,269.979883354988,213.14620047946852,333.9373698495875
n_sr__549,291.7399662463629,230.32555078060335,360.8523561002492
n_sr__548,285.69599726330534,225.5539025802054,353.37658760752447
n_sr__547,285.69599726330534,225.5539025802054,353.37658760752447
n_sr__546,304.62046787308833,240.49456762692986,376.7842128820244
n_sr__545,215.4448678660666,170.09139506173074,266.4831602589734
n_sr__544,304.62046787308833,240.49456762692986,376.7842128820244
n_sr__543,150.37487828492834,118.71934144015862,185.99827039666388
n_sr__542,150.37487828492834,118.71934144015862,185.99827039666388
n_sr__541,316.0116795811684,249.48780617589986,390.8739710889142
n_sr__540,259.3408393994712,204.74679024314818,320.7779658522608
n_sr__539,188.38679927142368,148.72934229842284,233.01511016790784
n_sr__538,373.87353234913246,295.1691136753096,462.4431364942929
n_sr__537,373.87353234913246,295.1691136753096,462.4431364942929
n_sr__536,320.09899855097376,252.71470033458857,395.92956460037016
n_sr__535,320.09899855097376,252.71470033458857,395.92956460037016
n_sr__534,352.03982854368985,277.93164045807316,435.4370887389584
n_sr__533,254.3893403463777,200.83763524711887,314.65347038965393
n_sr__532,254.3893403463777,200.83763524711887,314.65347038965393
n_sr__531,254.3893403463777,200.83763524711887,314.65347038965393
n_sr__530,109.90735230200532,86.770666972725,135.94409960761834
n_sr__529,109.90735230200532,86.770666972725,135.94409960761834
n_sr__528,212.9765931588491,168.14271885280291,263.4301581109923
n_sr__527,212.9765931588491,168.14271885280291,263.4301581109923
n_sr__526,282.3427618907392,222.9065594889572,349.22898006400624
n_sr__525,290.45665927211166,229.312393791974,359.26503725869094
n_sr__524,282.33818973342534,222.90294982016505,349.22332477529
n_sr__523,198.13955896526662,156.42904068742698,245.0782716170692
n_sr__522,245.0689881115443,193.47931787436505,303.12515252872805
n_sr__521,54.949010709852345,43.381650170989545,67.9662791325741
n_sr__520,67.75598169323584,53.49261536897699,83.80718606528707
n_sr__519,70.33308770691474,55.52721271831428,86.99480135475635
n_sr__518,86.67547683418398,68.42935233682176,107.20865719616774
n_sr__517,70.00408835799398,55.26747128754081,86.58786297143847
n_sr__516,72.87968516933782,57.537723896113505,90.14468070168911
n_sr__515,73.50100365219652,58.028248124301534,90.91318781202058
n_sr__514,118.67919756595433,93.69594401918614,146.79397071567834
n_sr__513,75.12096230994709,59.30718797916229,92.91691018833926
n_sr__512,57.697116591975984,45.55125006862247,71.36540368563534
n_sr__511,335.06849814892934,264.5329585052828,414.4452971860194
n_sr__510,57.85423566454621,45.67529387857245,71.55974383126137
n_sr__509,71.32395033319378,56.309488054402145,88.22039659240893
n_sr__508,49.939302035184234,39.42653930774598,61.76978435028822
n_sr__507,69.40181445642204,54.79198255048105,85.84291205094513
n_sr__506,59.455716300568405,46.93964553495398,73.54061079369023
n_sr__505,67.1557401284233,53.018731139827146,83.06474893650164
n_sr__504,56.82937835894067,44.86618011050618,70.29210066891861
n_sr__503,55.376334445568645,43.71901764263506,68.49483467755066
n_sr__502,61.57564582098951,48.61330698315859,76.1627457450751
n_sr__501,55.84995315872942,44.092934498704885,69.08065235188641
n_sr__500,48.43300783807112,38.23733631628911,59.906653230469715
n_sr__499,89.27154138046421,70.47891724278001,110.41972224209448
n_sr__498,86.34207005322853,68.16613128608404,106.79626727237519
n_sr__497,85.27890078639798,67.32677063863348,105.48123615132131
n_sr__496,67.6454543268482,53.4053552075836,83.67047507197444
n_sr__495,69.22307768653607,54.65087180210328,85.62183303539253
n_sr__494,76.10462932764176,60.08378246002925,94.13360519766641
n_sr__493,68.56849835520461,54.13408849346601,84.81218567372106
n_sr__492,67.4094959951737,53.21906865451563,83.37861886515525
n_sr__491,71.27433139485939,56.27031443877428,88.15902306503271
