parameter,median,hpd_min,hpd_max
n_sr__491,71.53052722301916,55.728936413349395,87.93682787010412
n_sr__490,38.677446343117495,30.133329524693952,47.548537296889705
n_sr__489,73.77283410249453,57.47590211256605,90.6934321025544
n_sr__488,57.82646702354465,45.052198395186736,71.08959313456975
n_sr__487,52.460173843995335,40.871356690412405,64.4924825308794
n_sr__486,64.32607581370317,50.115998412332786,79.07995755088643
n_sr__485,70.53533727429607,54.953590843776325,86.71338033495499
n_sr__484,57.71655353104039,44.9665655573965,70.95446979288357
n_sr__483,82.79934554853169,64.50839441955263,101.79027164943608
n_sr__482,49.627317304487136,38.66429785710928,61.00987968190633
n_sr__481,83.00525618196696,64.66881796238167,102.04341011537477
n_sr__480,77.58399823101061,60.44515358636983,95.37872797503026
n_sr__479,84.09304895934574,65.51630975190024,103.38069994024154
n_sr__478,59.61189876758117,46.44321585299972,73.28453297416642
n_sr__477,54.018739014274416,42.08562397799634,66.40852149248046
n_sr__476,64.12560075524387,49.959809688174396,78.83350136787776
n_sr__475,66.45834691784921,51.77723600406044,81.70128811193602
n_sr__474,72.22277068260641,56.26825847959972,88.78784485981728
n_sr__473,55.81486641273064,43.48497434580167,68.61661015060508
n_sr__472,75.7754511077301,59.036127097307265,93.15537099376495
n_sr__471,69.61286756530858,54.23490110736318,85.57933221363045
n_sr__470,60.589294064527145,47.204697733098044,74.4861044615485
n_sr__469,83.32662656351002,64.919195392179,102.43849027235714
n_sr__468,79.39119449961345,61.85312763394541,97.60042426847629
n_sr__467,131.6132552897137,102.53897209964943,161.8001799392738
n_sr__466,53.67565414306097,41.81832894027594,65.98674639258962
n_sr__465,60.22958862725736,46.92445372792464,74.04389668887946
n_sr__464,71.16198061904791,55.44180431667081,87.48375111345605
n_sr__463,59.41456015648918,46.28947071317772,73.04193261667685
n_sr__462,59.219822499122365,46.137751958318795,72.80252976980141
n_sr__461,71.89869265315541,56.01577154014338,88.38943602657238
n_sr__460,65.37797191890002,50.93552335414114,80.37311741326981
n_sr__459,63.95394743669499,49.82607578118492,78.62247750278722
n_sr__458,44.291478938363326,34.50718328572485,54.45020903273588
n_sr__457,84.11288817238125,65.53176634483572,103.40508949152144
n_sr__456,68.18775007365402,53.12460197834444,83.82734860015063
n_sr__455,75.29438958873081,58.66133541263764,92.56397280849392
n_sr__454,61.44748367356235,47.873307290572825,75.54112914624501
n_sr__453,66.83254686302257,52.068772579562335,82.16131486478122
