area,date,flow_rate,rbs,shock_class,survival,scaled_intensity,beta_0_median,beta_0_min,beta_0_max,beta_1_median,beta_1_min,beta_1_max,effective_channels,minimum_channels,maximum_channels,calibration_factor,minimum_calibration_factor,maximum_calibration_factor
3.1744000000000003,20170421,0.71,sd1,medium,0,329203.70114328293,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,537.4879163688879,418.75309853197984,660.7665876224875,3277.793793696238,2611.1366568643966,4020.089149655385
2.048,20170421,0.71,sd1,medium,0,172990.3156912945,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,282.43972959599637,220.04682954711373,347.22033863563024,3277.793793696238,2611.1366568643966,4020.089149655385
6.6048,20170421,0.71,sd1,medium,1,567411.4557826491,-15.17631775581582,-19.890539149257208,-11.227112014015221,2.5910557569737924,1.8612121385422167,3.4176456095563212,926.4075708544817,721.7576972140731,1138.889174433144,3277.793793696238,2611.1366568643966,4020.089149655385
27.392000000000003,20170714,0.018000000000000002,sd4,slow,0,62227.17786980313,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,101.59775257265238,79.1541026282061,124.90029679378148,3277.793793696238,2611.1366568643966,4020.089149655385
6.0672000000000015,20170714,0.018000000000000002,sd4,slow,0,48951.56466440644,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,79.92277852009062,62.26728104823748,98.253932837782,3277.793793696238,2611.1366568643966,4020.089149655385
3.4816000000000003,20170714,0.018000000000000002,sd4,slow,0,38244.189909905865,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,62.44094424365123,48.64730551327621,76.76245065105181,3277.793793696238,2611.1366568643966,4020.089149655385
3.9168,20170714,0.018000000000000002,sd4,slow,0,35496.182529092184,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,57.95429735556837,45.15179011807222,71.24674273684656,3277.793793696238,2611.1366568643966,4020.089149655385
6.8608,20170714,0.018000000000000002,sd4,slow,0,30502.881351381802,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,49.8017795178611,38.80022015452696,61.224356692252854,3277.793793696238,2611.1366568643966,4020.089149655385
6.8608,20170714,0.018000000000000002,sd4,slow,0,30502.881351381802,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,49.8017795178611,38.80022015452696,61.224356692252854,3277.793793696238,2611.1366568643966,4020.089149655385
6.5792,20170714,0.018000000000000002,sd4,slow,0,38761.41316648899,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,63.285409993923565,49.305222907809735,77.80060376143459,3277.793793696238,2611.1366568643966,4020.089149655385
30.7712,20170714,0.018000000000000002,sd4,slow,0,50822.72836725769,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,82.977810636491,64.64743532872808,102.0096696369802,3277.793793696238,2611.1366568643966,4020.089149655385
30.7712,20170714,0.018000000000000002,sd4,slow,0,50822.72836725769,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,82.977810636491,64.64743532872808,102.0096696369802,3277.793793696238,2611.1366568643966,4020.089149655385
8.3968,20170714,0.018000000000000002,sd4,slow,0,42558.94074041737,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,69.4855990439725,54.13574708727821,85.4228732794034,3277.793793696238,2611.1366568643966,4020.089149655385
8.3968,20170714,0.018000000000000002,sd4,slow,0,42558.94074041737,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,69.4855990439725,54.13574708727821,85.4228732794034,3277.793793696238,2611.1366568643966,4020.089149655385
30.7712,20170714,0.018000000000000002,sd4,slow,0,50822.72836725769,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,82.977810636491,64.64743532872808,102.0096696369802,3277.793793696238,2611.1366568643966,4020.089149655385
5.6832,20170714,0.018000000000000002,sd4,slow,0,49342.835014507,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,80.56160209492322,62.764984053699706,99.03927751396861,3277.793793696238,2611.1366568643966,4020.089149655385
6.5280000000000005,20170714,0.018000000000000002,sd4,slow,0,55805.25480779726,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,91.11273665791174,70.985299630519,112.01042899181266,3277.793793696238,2611.1366568643966,4020.089149655385
4.7616000000000005,20170714,0.018000000000000002,sd4,slow,0,7403.517267038667,-10.494646618471435,-13.923176254126941,-7.1420140209692065,1.9301812263509786,1.3483220216967942,2.5485494007216305,12.08765592805332,9.417408689029603,14.860090648908312,3277.793793696238,2611.1366568643966,4020.089149655385
