parameter,median,hpd_min,hpd_max
n_sr__564,337.91032694298315,268.56416215364095,421.1215279646178
n_sr__563,208.91237755934412,166.03925115380505,260.35753462887476
n_sr__562,199.66603500415962,158.69044869551948,248.8342587936838
n_sr__561,208.91237755934412,166.03925115380505,260.35753462887476
n_sr__560,208.91237755934412,166.03925115380505,260.35753462887476
n_sr__559,199.66603500415962,158.69044869551948,248.8342587936838
n_sr__558,296.51413754801433,235.66332416567045,369.5314310071387
n_sr__557,351.71511115605585,279.53592007366825,438.32577227885554
n_sr__556,296.51413754801433,235.66332416567045,369.5314310071387
n_sr__555,327.07990867847,259.9563689757981,407.62409410602714
n_sr__554,351.71511115605585,279.53592007366825,438.32577227885554
n_sr__553,296.51413754801433,235.66332416567045,369.5314310071387
n_sr__552,298.7160401735305,237.41335098229814,372.2755572564768
n_sr__551,271.16043796680276,215.5127263809744,337.93432415400235
n_sr__550,271.16043796680276,215.5127263809744,337.93432415400235
n_sr__549,293.015672266837,232.88281607773172,365.17146054376434
n_sr__548,286.94527451668785,228.05818908140068,357.60621328120544
n_sr__547,286.94527451668785,228.05818908140068,357.60621328120544
n_sr__546,305.9524971107183,243.16473778328418,381.2940084828961
n_sr__545,216.38695447337392,171.9798908037678,269.67274342820934
n_sr__544,305.9524971107183,243.16473778328418,381.2940084828961
n_sr__543,151.03243007676664,120.0374620348296,188.22451595825078
n_sr__542,151.03243007676664,120.0374620348296,188.22451595825078
n_sr__541,317.3935197430384,252.25782672563057,395.55240944976975
n_sr__540,260.47487212880014,207.02005892572683,324.61741296760493
n_sr__539,189.21056770157924,150.3806588129626,235.804108440245
n_sr__538,375.50838794416927,298.4463259890446,467.9781986102534
n_sr__537,375.50838794416927,298.4463259890446,467.9781986102534
n_sr__536,321.4987115380328,255.52054853965996,400.6685142369063
n_sr__535,321.4987115380328,255.52054853965996,400.6685142369063
n_sr__534,353.5792108041944,281.01746804736393,440.64891078487364
n_sr__533,255.50172140681238,203.0675012486725,318.4196123564529
n_sr__532,255.50172140681238,203.0675012486725,318.4196123564529
n_sr__531,255.50172140681238,203.0675012486725,318.4196123564529
n_sr__530,110.38794970807903,87.73406688517935,137.57123811664837
n_sr__529,110.38794970807903,87.73406688517935,137.57123811664837
n_sr__528,213.90788661722763,170.00957877533344,266.5831993679461
n_sr__527,213.90788661722763,170.00957877533344,266.5831993679461
n_sr__526,283.5773762831915,225.38145299144307,353.40896230355594
n_sr__525,291.7267537116487,231.85841017990063,363.56514280765555
n_sr__524,283.5727841329754,225.3778032451141,353.4032393257081
n_sr__523,199.00597377815043,158.16584563962303,248.01165596126404
n_sr__522,246.14061359909022,195.62748573344672,306.75331005935067
n_sr__521,55.18928901208008,43.86330923199449,68.7797793169241
n_sr__520,68.05226168147783,54.08653475165991,84.81028881247413
n_sr__519,70.64063673621186,56.14372188826768,88.03605722226592
n_sr__518,87.05448705019072,69.18911176187405,108.4918562105331
n_sr__517,70.31019875529444,55.881096592699826,87.6242481228507
n_sr__516,73.19836983341386,58.17655542868386,91.22363802147935
n_sr__515,73.8224051868454,58.67252586369477,92.00134352671942
n_sr__514,119.19815206090368,94.7362341012456,148.55097321401644
n_sr__513,75.44944751927791,59.96566556957886,94.02904880372537
n_sr__512,57.94941167498227,46.0569978271604,72.21958858137216
n_sr__511,336.5336690196177,267.47002281464654,419.4058648376071
n_sr__510,58.10721779002182,46.18241887437057,72.4162548179114
n_sr__509,71.63583215732211,56.93468269395714,89.27632182190942
n_sr__508,50.15767413237835,39.86428544757224,62.50911761374677
n_sr__507,69.7052912603479,55.400328585310156,86.870380755571
n_sr__506,59.71570130095118,47.46080841149644,74.42083112061421
n_sr__505,67.44939541019184,53.60738906675775,84.05896532491133
n_sr__504,57.077879039341376,45.36432165417103,71.1334390146735
n_sr__503,55.618481327783414,44.20442243712332,69.31466123490159
n_sr__502,61.84490074378634,49.15305223723636,77.074350860067
n_sr__501,56.09417105730702,44.58249082825643,69.90749066259724
n_sr__500,48.6447932868859,38.66187893817744,60.62368635437693
n_sr__499,89.6619035384549,71.2614326373305,111.74135505098499
n_sr__498,86.71962236463891,68.9229682127151,108.07453032020965
n_sr__497,85.6518041240941,68.07428828718953,106.74375936356293
n_sr__496,67.94125100651735,53.998305755581015,84.67194150156868
n_sr__495,69.52577291920053,55.25765110836642,86.64665560693294
n_sr__494,76.4374158672043,60.75088244648104,95.26030664666676
n_sr__493,68.86833127591157,54.73513004281578,85.82731743554842
n_sr__492,67.70426088798084,53.809950894694545,84.37659201718476
n_sr__491,71.58599624776096,56.89507414035793,89.21421370413817
n_sr__490,38.70743913516651,30.763874707514063,48.23923571577975
n_sr__489,73.83004194534105,58.678595401922585,92.01086085469066
n_sr__488,57.871309105024906,45.99492351456863,72.12225307258211
n_sr__487,52.50085458260976,41.726596966975364,65.42931167950782
n_sr__486,64.37595807837218,51.16468443142074,80.22868692830647
n_sr__485,70.59003456956752,56.103504329334385,87.97299415482917
n_sr__484,57.76131037906198,45.90749879469262,71.98516690545978
