area,cell_label,file,mean_int,rbs,var_int
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos6.ome.tif,4665.185522751432,sd1,42377.829281966595
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4714.580179033094,sd1,44563.836693259465
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4701.904405902175,sd1,42678.73456494903
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4636.0403786333645,sd1,53907.5239877383
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4684.155446552237,sd1,32681.230570058142
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4689.6534612956075,sd1,62819.40874792384
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos15.ome.tif,4735.676562663857,sd1,49975.33353148654
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4539.453010586934,sd1,42992.70922392097
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4480.008584337547,sd1,48313.78864706644
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4383.31291423567,sd1,37097.8462972792
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4468.470589813564,sd1,38626.01761706271
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4498.190238380333,sd1,46981.67997285623
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos4.ome.tif,4501.735921170736,sd1,37105.680322504086
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4589.315809217931,sd1,39251.384399143244
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4562.841530736431,sd1,35730.34936699231
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4598.06374742209,sd1,38942.757931991684
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4655.502223308811,sd1,34850.38263798618
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4912.934405031414,sd1,285448.52361784485
