parameter,median,hpd_min,hpd_max
n_sr__535,320.38322124593617,251.21304794970038,399.0922068013777
n_sr__534,352.3524121795516,276.2801468560896,438.915312735996
n_sr__533,254.6152180411229,199.64424082429798,317.1668880101648
n_sr__532,254.6152180411229,199.64424082429798,317.1668880101648
n_sr__531,254.6152180411229,199.64424082429798,317.1668880101648
n_sr__530,110.0049413729142,86.2550682409321,137.03000625576416
n_sr__529,110.0049413729142,86.2550682409321,137.03000625576416
n_sr__528,213.1656995963748,167.14360042228577,265.53440949697
n_sr__527,213.1656995963748,167.14360042228577,265.53440949697
n_sr__526,282.5934600217892,221.5820296289188,352.01858308665504
n_sr__525,290.71456190486526,227.94979991608847,362.1348072121616
n_sr__524,282.5888838047598,221.57844140908765,352.012882624109
n_sr__523,198.31549128521354,155.49952593540402,247.03593013430685
n_sr__522,245.28659006771431,192.3296472033359,305.5464832028893
n_sr__521,54.99780110276256,43.123872691668375,68.50918636115424
n_sr__520,67.81614366751207,53.17475766882587,84.47662873159892
n_sr__519,70.39553794831997,55.19726526652673,87.68970634451259
n_sr__518,86.75243782976497,68.0227392668385,108.06502826283503
n_sr__517,70.06624647389425,54.93906724157199,87.27951738174988
n_sr__516,72.94439658868185,57.195829814782876,90.86474658429442
n_sr__515,73.56626675340905,57.683439306012076,91.63939244564683
n_sr__514,118.7845753444568,93.1391946982939,147.96654495147064
n_sr__513,75.1876638068357,58.9547795907622,93.65912033787802
n_sr__512,57.7483470864279,45.28058064096503,71.93546275060044
n_sr__511,335.36601258031453,262.9610810185554,417.7558410404865
n_sr__510,57.90560566835754,45.403887371976595,72.13135526412434
n_sr__509,71.3872803825561,55.974892255595115,88.92509150331914
n_sr__508,49.983644201430394,39.19226343578056,62.26319465403893
n_sr__507,69.46343780054175,54.46640389929555,86.52861587451213
n_sr__506,59.508508293028115,46.66072614257178,74.12804517591108
n_sr__505,67.2153691354739,52.703689300335974,83.72826109596322
n_sr__504,56.8798383701976,44.5995814271903,70.85358630638893
n_sr__503,55.42550426829382,43.45923549691455,69.04196395020526
n_sr__502,61.630320143866214,48.32444255116506,76.7711254554438
n_sr__501,55.89954351756264,43.83093050701371,69.63246107226252
n_sr__500,48.47601253372835,38.010126790309386,60.38518104593871
n_sr__499,89.35080747685768,70.06012548265747,111.30174294630444
n_sr__498,86.4187350098521,67.76108229811925,107.64934421328662
n_sr__497,85.35462173246361,66.92670920349546,106.32380876699176
n_sr__496,67.70551816152985,53.08801601478201,84.33882570577482
n_sr__495,69.28454232648409,54.32613164306546,86.30577090388353
n_sr__494,76.17220424335386,59.72675948073777,94.8855341743055
n_sr__493,68.62938178027079,53.81241910509114,85.48965616734819
n_sr__492,67.46935031744441,52.90283639236081,84.04463818339136
n_sr__491,71.33761738651319,55.935951412945066,88.86322773089665
n_sr__490,38.573137593550236,30.245265111497588,48.04945323165363
n_sr__489,73.57387701497126,57.6894065255041,91.64887233060891
n_sr__488,57.67051550560811,45.21955276138867,71.83851017852936
n_sr__487,52.31869461893988,41.02318057999795,65.17190011149789
n_sr__486,64.1525955773615,50.30216316010609,79.9130517554538
n_sr__485,70.34511135384318,55.15772568500003,87.62689137938126
n_sr__484,57.56089843750742,45.1336018252635,71.7019633349048
n_sr__483,82.57604496858812,64.74802227007594,102.86261523710067
n_sr__482,49.49347797687263,38.80792323595895,61.65260862054595
n_sr__481,82.78140028406092,64.90904173455343,103.11842047468996
n_sr__480,77.37476285983038,60.66968780953231,96.38352701610047
n_sr__479,83.86625940590852,65.75968168234947,104.46979842551718
n_sr__478,59.45113213979983,46.6157373997904,74.05657334439445
n_sr__477,53.873056513165295,42.24195847837452,67.10812422498917
n_sr__476,63.95266117772651,50.14539424528285,79.66399919753415
n_sr__475,66.27911618467695,51.969571712945026,82.56199759812843
n_sr__474,72.02799394286629,56.47727688648275,89.72321004310207
n_sr__473,55.664339956792276,43.64650698083788,69.3394747299992
n_sr__472,75.57109318598876,59.25542724214642,94.13674733870403
n_sr__471,69.42512944255063,54.43636624833656,86.48089624965112
n_sr__470,60.42589151087954,47.38004793913195,75.27080318761679
n_sr__469,83.10190396560654,65.16034923563625,103.51766273543812
n_sr__468,79.17708532209843,62.08289202595102,98.62862851060757
n_sr__467,131.2583090514342,102.919871263242,163.50471793322285
n_sr__466,53.53089690350077,41.97367052591922,66.68190579454742
n_sr__465,60.067156158967535,47.09876291799178,74.82393682958636
n_sr__464,70.97006471153807,55.64775271326447,88.40537788594813
n_sr__463,59.25432572888418,46.461421146430155,73.81141723247468
n_sr__462,59.06011325721225,46.309138805398625,73.56949231641173
n_sr__461,71.7047899156365,56.223852039593865,89.3206040390404
n_sr__460,65.20165483633964,51.12473237238533,81.21983484198012
n_sr__459,63.78147078899099,50.011163560021934,79.45075223111078
n_sr__458,44.172029770402226,34.63536632659535,55.023832931730304
n_sr__457,83.88604511480403,65.77519569153559,104.49444491666468
n_sr__456,68.00385533347674,53.3219427166549,84.7104557800969
n_sr__455,75.09132903613494,58.87924332741744,93.53911887188002
n_sr__454,61.28176667846439,48.05114116516706,76.33694238195287
n_sr__453,66.65230695442483,52.262191252665225,83.0268706563285
n_sr__452,87.11752756669269,68.30900677245909,108.51981009636673
n_sr__451,39.006964584732955,30.585429619220665,48.589859095006275
n_sr__450,61.32595333676825,48.0857880017525,76.39198443722995
n_sr__449,59.99241984832737,47.0401620452138,74.73083994696691
n_sr__448,69.37446084009332,54.396636907926194,86.4177798221067
n_sr__447,49.93692347092619,39.15562962872052,62.20499597756709
n_sr__446,57.92497213351099,45.41907265140631,72.15547951534444
n_sr__445,59.428510570132374,46.59799978717926,74.02839430266815
n_sr__444,70.44499234973117,55.236042549758714,87.75131027657393
n_sr__443,92.64204063182008,72.64078719507758,115.40153786628719
n_sr__442,61.98274177400358,48.600776971943766,77.21012699100827
n_sr__441,73.70420854202679,57.791599705372356,91.81122258274169
n_sr__440,139.27979826617974,109.2095350817633,173.4968574094934
n_sr__439,67.54569812542294,52.96270084303953,84.13974246211139
n_sr__438,72.57804656188895,56.90857411365972,90.40839484375716
n_sr__437,66.75955350130182,52.34628345892458,83.16046460952778
n_sr__436,65.89489289754621,51.6683015569175,82.08338164886254
n_sr__435,66.3616315973288,52.03427219330877,82.66478468542434
n_sr__434,76.33579800151539,59.85503363458853,95.08931823549858
n_sr__433,71.00492098819373,55.675083581169446,88.44879735191543
n_sr__432,57.255584057764956,44.89420428247177,71.32164195257474
n_sr__431,57.836389738455175,45.3496150394561,72.04513496175296
n_sr__430,50.03649620311005,39.23370478336597,62.329030879488485
n_sr__429,74.46475690470888,58.38794701581986,92.75861590521838
n_sr__428,39.05275892432812,30.621337041537625,48.64690379284336
n_sr__427,74.6212244454679,58.510633490056584,92.95352304140191
n_sr__426,57.585896376797834,45.153202753480606,71.7331025522399
n_sr__425,68.56636692751619,53.76300904808185,85.41116036925585
n_sr__424,50.78383165717076,39.81969182889652,63.259965259953574
n_sr__423,66.1560772312676,51.87309665291443,82.40873149621552
n_sr__422,53.22259718815941,41.731932176227446,66.29786566512576
n_sr__421,43.54994453618583,34.147588199000964,54.248919164472206
n_sr__420,74.73903230085443,58.60300683691595,93.10027291426327
n_sr__419,74.46794602644376,58.390447611787984,92.7625885028656
n_sr__418,87.69437993777902,68.76131773242153,109.23837858094642
n_sr__417,79.9885097296004,62.719131332730676,99.63939666564112
n_sr__416,64.97820145585754,50.94952218326472,80.94148536291868
n_sr__415,50.4152320964799,39.5306722642827,62.80081133943908
n_sr__414,73.89038439236239,57.93758051746217,92.04313650967771
n_sr__413,68.82389466954781,53.96493700409584,85.7319553050215
n_sr__412,76.599483343016,60.06178977518921,95.41778351664347
n_sr__411,76.599483343016,60.06178977518921,95.41778351664347
n_sr__410,69.38943750412156,54.40838013656352,86.43643582373595
n_sr__409,69.38943750412156,54.40838013656352,86.43643582373595
n_sr__408,96.00129288947502,75.27478280569545,119.58606223524875
n_sr__407,81.67945164766067,64.0450018683033,101.7457546048217
n_sr__406,81.67945164766067,64.0450018683033,101.7457546048217
n_sr__405,139.57481178391697,109.4408557005177,173.8643473029158
n_sr__404,78.27666548159911,61.376871243443865,97.5070012924432
n_sr__403,54.83697387839099,42.997767781833986,68.30884849190322
n_sr__402,44.81143604618516,35.13672591338313,55.820323024602466
n_sr__401,80.94090602201089,63.46590694270801,100.82576946197362
n_sr__400,79.7898562140375,62.5633667613639,99.39193966834102
n_sr__399,77.01047572322298,60.384049624236184,95.92974495881101
n_sr__398,61.507591512309844,48.22821081504582,76.61824591257925
n_sr__397,55.14262821055815,43.23743188192055,68.68959334323661
n_sr__396,62.62102351673641,49.10125481038673,78.00521628525296
n_sr__395,49.71474469319128,38.98141885785846,61.92823423465861
n_sr__394,66.7925170367186,52.37213022509119,83.20152634191909
n_sr__393,56.2757130912925,44.12588573218163,70.10104474130598
n_sr__392,80.36458763535065,63.01401468087436,100.10786614650665
n_sr__391,55.5382315279957,43.54762513975103,69.1823850704691
n_sr__390,75.0026048820646,58.80967456197433,93.42859773314245
n_sr__389,82.12468420424102,64.39410949993902,102.30036805447259
n_sr__388,73.83700383674432,57.89572472980289,91.97664187971846
n_sr__387,85.2676122146487,66.85848488735955,106.2154235015511
n_sr__386,59.11667692032012,46.35349047324586,73.63995205224526
n_sr__385,40.57229596292175,31.812808709289357,50.53974758063725
n_sr__384,53.454421584115124,41.91370609332164,66.58664267851792
n_sr__383,69.03957461189023,54.13405202668268,86.00062163472965
n_sr__382,79.0727186396511,62.00105792646218,98.49862192208377
n_sr__381,69.11204462149306,54.19087588882649,86.09089545102638
n_sr__380,45.71201883017203,35.842874460165795,56.94215321680454
n_sr__379,43.27749909419331,33.93396324817869,53.90954167692798
n_sr__378,86.3448669482358,67.7031622209298,107.55732888362004
n_sr__377,52.542152394082095,41.1983942149793,65.45025506486161
n_sr__376,78.77377113546696,61.76665266200732,98.12623157436633
n_sr__375,72.8539688800852,57.124925289235854,90.75210337645267
n_sr__374,63.57038359365433,49.84564971844978,79.18780695486689
n_sr__373,79.93248012984463,62.67519842489826,99.56960219723615
n_sr__372,89.13838293247457,69.893563023343,111.03713177263889
n_sr__371,66.37066958713407,52.04135889703033,82.67604305058595
n_sr__370,52.378115062965364,41.069772254793264,65.24591845753682
n_sr__369,77.82445070481916,61.02228884065449,96.94369029097611
n_sr__368,49.63500625001778,38.91889580415271,61.82890633874302
n_sr__367,68.41205485001203,53.642012676378876,85.21893823194247
n_sr__366,55.188283345526415,43.27323015364443,68.7464646378551
n_sr__365,59.7139632958785,46.82182377209758,74.38397459121279
n_sr__364,70.85573698527884,55.55810814178207,88.2629631103118
n_sr__363,62.17391472362874,48.750676018386045,77.44826566147273
n_sr__362,96.76578534672602,75.8742226876397,120.5383686034187
n_sr__361,74.08976174925894,58.0939126540933,92.29149517540507
n_sr__360,63.17855506420714,49.53841627852966,78.69971737296966
n_sr__359,130.02777560684035,101.95500782245907,161.9718776489032
n_sr__358,53.376240164458636,41.852403904497386,66.48925432222312
n_sr__357,68.27043655776315,53.530969524047364,85.04252837952494
n_sr__356,61.19262191928078,47.98124260251397,76.22589730746672
n_sr__355,52.783989693826584,41.38801926756625,65.75150486585486
n_sr__354,43.818711169963514,34.35832858982388,54.58371406593982
n_sr__353,63.77063868676191,50.0026700895896,79.43725899146456
n_sr__352,50.12529702557114,39.3033336646293,62.439647521845586
n_sr__351,80.7594960031227,63.323663027448355,100.59979219483579
n_sr__350,92.22836850457628,72.31642615166021,114.88623833995148
n_sr__349,57.516929542540055,45.099125737293676,71.6471925411819
n_sr__348,74.3371262281809,58.28787157760625,92.59963002526807
n_sr__347,39.407367470503985,30.89938622703311,49.08862950711015
n_sr__346,47.03595196426735,36.880972761956635,58.59133882049747
n_sr__345,64.98165329532799,50.95222877667192,80.94578522052804
n_sr__344,56.931290696326556,44.6399252867117,70.91767899607478
n_sr__343,58.54602794191254,45.906043604406534,72.9291109563353
n_sr__342,72.65339147702255,56.9676521942927,90.50224984757101
n_sr__341,68.0830608170752,53.384047875819334,84.80911978352734
n_sr__340,358.3271057260662,280.96491458689775,446.3578174438505
n_sr__339,294.2489177874184,230.72109458733334,366.53745315380655
n_sr__338,354.890296655559,278.27010654275074,442.076682773409
n_sr__337,259.5854610711176,203.54141713634104,323.35817746491773
n_sr__336,259.5854610711176,203.54141713634104,323.35817746491773
n_sr__335,197.98203718220867,155.23806398605032,246.62055590429048
n_sr__334,344.8993840334084,270.43621436247656,429.6312889390264
n_sr__333,344.8993840334084,270.43621436247656,429.6312889390264
n_sr__332,344.8993840334084,270.43621436247656,429.6312889390264
n_sr__331,260.94498787756663,204.60742449930223,325.05170108728896
n_sr__330,278.3472497041826,218.2525686416264,346.7292004541746
n_sr__329,226.2386226593253,177.39410241637975,281.81897550591395
n_sr__328,226.2386226593253,177.39410241637975,281.81897550591395
n_sr__327,199.9008079343336,156.7425755116025,249.0107136998002
n_sr__326,599.0911571060007,469.7484312412949,746.2707036742405
n_sr__325,427.45652687236384,335.16941543942227,532.4703583343722
n_sr__324,427.45652687236384,335.16941543942227,532.4703583343722
n_sr__323,377.6974762353695,296.15325621300843,470.48693345390507
n_sr__322,377.6974762353695,296.15325621300843,470.48693345390507
