area,date,eccentricity,exposure_ms,intensity,mean_bg,rbs,replicate_number,scaled_intensity,experiment,effective_channels
4.9152000000000005,20170721,,50.0,252207.08544349673,108685.19752677024,mlg910,1.0,287043.775833453,cal,426.3547526132584
7.8336000000000015,20170721,,50.0,256413.4659998978,108685.19752677024,mlg910,1.0,295456.53694625513,cal,438.8504796940098
6.8352,20170721,,50.0,232272.33007941395,108685.19752677024,mlg910,1.0,247174.26510528743,cal,367.1353693189783
5.9648,20170721,,50.0,211173.54459723536,108685.19752677024,mlg910,1.0,204976.69414093025,cal,304.4580481433133
5.1968000000000005,20170721,,50.0,189560.409593221,110512.84321981226,mlg910,1.0,158095.1327468175,cal,234.82345511905044
5.8624,20170721,,50.0,269142.7558894817,110512.84321981226,mlg910,1.0,317259.82533933886,cal,471.235559642172
5.1456,20170721,,50.0,251162.64706332746,110512.84321981226,mlg910,1.0,281299.6076870304,cal,417.822766919
7.936,20170721,,50.0,238042.0869419466,110512.84321981226,mlg910,1.0,255058.48744426866,cal,378.8460418640421
4.1728000000000005,20170721,,50.0,200438.06934376794,110512.84321981226,mlg910,1.0,179850.45224791137,cal,267.13728542935496
6.2208000000000006,20170721,,50.0,243430.2619469737,110512.84321981226,mlg910,1.0,265834.8374543229,cal,394.8524786149173
5.9392000000000005,20170721,,50.0,266456.5468548307,110512.84321981226,mlg910,1.0,311887.40727003687,cal,463.2557455172309
6.0416,20170721,,50.0,249034.52758614413,108899.18367328767,mlg910,1.0,280270.68782571296,cal,416.2944813059184
4.6592,20170721,,50.0,257011.98089670483,108899.18367328767,mlg910,1.0,296225.5944468343,cal,439.9927839277551
5.5552,20170721,,50.0,205393.89579815272,108899.18367328767,mlg910,1.0,192989.4242497301,cal,286.6529956765551
5.7088,20170721,,50.0,185373.13616605246,108899.18367328767,mlg910,1.0,152947.90498552957,cal,227.1781229308294
3.5839999999999996,20170721,,50.0,244978.49234124212,105305.11995033344,mlg910,1.0,279346.74478181737,cal,414.9221209167581
4.3776,20170721,,50.0,206893.46395698894,105305.11995033344,mlg910,1.0,203176.68801331104,cal,301.78444490974687
4.6080000000000005,20170721,,50.0,261631.3791403627,105305.11995033344,mlg910,1.0,312652.5183800585,cal,464.39218805839994
5.8368,20170721,,50.0,264817.1564571837,105305.11995033344,mlg910,1.0,319024.07301370054,cal,473.8560497697386
5.7856000000000005,20170721,,50.0,239243.9677050188,105305.11995033344,mlg910,1.0,267877.6955093707,cal,397.8867971196644
4.6080000000000005,20170721,,50.0,302826.26792956924,105305.11995033344,mlg910,1.0,395042.2959584716,cal,586.7682024322042
8.8832,20170721,,50.0,228574.5649508129,105305.11995033344,mlg910,1.0,246538.89000095893,cal,366.1916275686615
9.9584,20170721,,50.0,224598.5796907647,105305.11995033344,mlg910,1.0,238586.9194808625,cal,354.3803266127726
4.9664,20170721,,50.0,195789.8599319606,105305.11995033344,mlg910,1.0,180969.4799632543,cal,268.7994109478655
4.6336,20170721,,50.0,209774.6817025545,109850.2584763092,mlg910,1.0,199848.84645249057,cal,296.8415017601174
4.3264000000000005,20170721,,50.0,224604.50519824045,109850.2584763092,mlg910,1.0,229508.4934438625,cal,340.89586740133615
6.5792,20170721,,50.0,224942.71578965642,109850.2584763092,mlg910,1.0,230184.91462669443,cal,341.90057612644716
4.4288,20170721,,50.0,219524.48951679212,109850.2584763092,mlg910,1.0,219348.46208096584,cal,325.80486727185024
5.4784000000000015,20170721,,50.0,222467.0858222652,109869.93457062721,mlg910,1.0,225194.30250327595,cal,334.4878698551104
6.2208000000000006,20170721,,50.0,224052.2400639013,109869.93457062721,mlg910,1.0,228364.61098654813,cal,339.19682438711004
3.5328000000000004,20170721,,50.0,120255.48147928865,109869.93457062721,mlg910,1.0,20771.093817322864,cal,30.851930303236287
7.0912000000000015,20170721,,50.0,292935.6795274721,109869.93457062721,mlg910,1.0,366131.4899136898,cal,543.8261127691114
13.8752,20170721,,50.0,250478.86499442585,108606.51001476002,mlg910,1.0,283744.70995933167,cal,421.4545508564645
5.5808,20170721,,50.0,244448.64129597586,108606.51001476002,mlg910,1.0,271684.2625624317,cal,403.5408056397977
7.167999999999999,20170721,,50.0,250832.8737907157,108606.51001476002,mlg910,1.0,284452.7275519114,cal,422.5061906791838
4.7616000000000005,20170721,,50.0,206901.68585552854,108606.51001476002,mlg910,1.0,196590.35168153708,cal,292.0015614829677
7.654400000000001,20170721,,50.0,233457.9837806207,108606.51001476002,mlg910,1.0,249702.94753172138,cal,370.89129737291137
4.4032,20170721,,50.0,255519.05101263477,108606.51001476002,mlg910,1.0,293825.0819957495,cal,436.4272305927086
4.096,20170721,,50.0,210746.39272782355,108606.51001476002,mlg910,1.0,204279.76542612707,cal,303.4228789642352
3.6864,20170721,,50.0,203219.39546644245,108606.51001476002,mlg910,1.0,189225.77090336487,cal,281.0627281755359
5.3248000000000015,20170721,,50.0,268623.9342299067,109244.2963227982,mlg910,1.0,318759.27581421705,cal,473.46273852600706
8.576,20170721,,50.0,257520.77864977106,109244.2963227982,mlg910,1.0,296552.96465394576,cal,440.4790367414965
4.5568,20170721,,50.0,214018.8190649697,109244.2963227982,mlg910,1.0,209549.045484343,cal,311.2494990996048
4.9408,20170721,,50.0,250541.10295988532,109244.2963227982,mlg910,1.0,282593.6132741743,cal,419.74479233266715
7.3216,20170721,,50.0,226423.6587998401,108949.93570708613,mlg910,1.0,234947.44618550796,cal,348.9745074760296
6.2208000000000006,20170721,,50.0,210012.8749479063,108949.93570708613,mlg910,1.0,202125.87848164033,cal,300.2236459109939
6.3744000000000005,20170721,,50.0,246880.42852015953,108949.93570708613,mlg910,1.0,275860.9856261468,cal,409.74461801438673
4.48,20170721,,50.0,267250.8007972438,108949.93570708613,mlg910,1.0,316601.7301803153,cal,470.25807111134856
4.1984,20170721,,50.0,195377.99927753885,108949.93570708613,mlg910,1.0,172856.12714090545,cal,256.7484040051346
5.7088,20170721,,50.0,244184.69659467327,109430.9143385901,mlg910,1.0,269507.5645121663,cal,400.307690565137
4.1984,20170721,,50.0,201391.9248538077,109430.9143385901,mlg910,1.0,183922.0210304352,cal,273.1849089877491
3.4816000000000003,20170721,,50.0,201053.54117225003,109430.9143385901,mlg910,1.0,183245.25366731986,cal,272.1796860706524
4.8128,20170721,,50.0,254800.8810750957,109430.9143385901,mlg910,1.0,290739.93347301125,cal,431.8447667111353
7.4496,20170721,,50.0,221045.4218594164,109430.9143385901,mlg910,1.0,223229.01504165263,cal,331.56876928558427
4.1984,20170721,,50.0,233480.1148330321,109430.9143385901,mlg910,1.0,248098.400988884,cal,368.50801613874586
5.4784000000000015,20170721,,50.0,300109.67408615194,109515.3851099517,mlg910,1.0,381188.57795240043,cal,566.1908584500814
5.0432000000000015,20170721,,50.0,237831.70081173175,109515.3851099517,mlg910,1.0,256632.63140356008,cal,381.1841652265593
5.2736,20170721,,50.0,249116.50046943696,109515.3851099517,mlg910,1.0,279202.23071897053,cal,414.70746983318975
5.7344,20170721,,50.0,300062.2468141122,109515.3851099517,mlg910,1.0,381093.7234083209,cal,566.0499681431662
4.2752,20170721,,50.0,276339.31741437444,106984.88312712696,mlg910,1.0,338708.86857449496,cal,503.0944686039259
6.5792,20170721,,50.0,237343.4558489954,106984.88312712696,mlg910,1.0,260717.14544373687,cal,387.2510167654527
4.7104,20170721,,50.0,236555.9619296089,106984.88312712696,mlg910,1.0,259142.15760496387,cal,384.9116399633632
3.4048000000000003,20170721,,50.0,178880.32855803304,106984.88312712696,mlg910,1.0,143790.89086181216,cal,213.5769344707846
6.9632000000000005,20170721,,50.0,278696.47920380643,106984.88312712696,mlg910,1.0,343423.192153359,cal,510.0967951911139
4.8128,20170721,,50.0,235158.2269717652,106984.88312712696,mlg910,1.0,256346.6876892765,cal,380.75944442844866
6.3744000000000005,20170721,,50.0,201984.57972325973,106984.88312712696,mlg910,1.0,189999.39319226553,cal,282.21181262665357
3.2256,20170721,,50.0,233003.6851967189,105542.14436761773,mlg910,1.0,254923.08165820234,cal,378.64491957789227
3.8144,20170721,,50.0,259477.5034635669,105542.14436761773,mlg910,1.0,307870.71819189837,cal,457.2896364341767
8.652800000000001,20170721,,50.0,252553.75231821625,105542.14436761773,mlg910,1.0,294023.21590119705,cal,436.72152484102014
12.0064,20170721,,50.0,256948.6417669397,105542.14436761773,mlg910,1.0,302812.9947986439,cal,449.7772477754919
4.0192000000000005,20170721,,50.0,229944.0798227233,105542.14436761773,mlg910,1.0,248803.87091021112,cal,369.5558718287366
6.5536,20170721,,50.0,276940.7341806253,105542.14436761773,mlg910,1.0,342797.17962601513,cal,509.1669599579565
4.1472,20170721,,50.0,230446.32330772755,105542.14436761773,mlg910,1.0,249808.35788021964,cal,371.04786653357814
5.9648,20170721,,50.0,254074.0510078255,108866.03878209727,mlg910,1.0,290416.0244514565,cal,431.3636549003908
8.0896,20170721,,50.0,258293.1486306689,108866.03878209727,mlg910,1.0,298854.2196971433,cal,443.8971600636053
5.9136000000000015,20170721,,50.0,266545.9195387009,108866.03878209727,mlg910,1.0,315359.7615132072,cal,468.41333769993497
6.912000000000001,20170721,,50.0,256153.3274806051,108866.03878209727,mlg910,1.0,294574.57739701564,cal,437.5404786520465
4.5312,20170721,,50.0,260839.58684251376,108866.03878209727,mlg910,1.0,303947.09612083295,cal,451.4617625755649
4.7616000000000005,20170721,,50.0,188332.17046494837,108866.03878209727,mlg910,1.0,158932.2633657022,cal,236.0668704026017
3.7119999999999997,20170721,,50.0,279742.8141522024,107186.32379105166,mlg910,1.0,345112.98072230146,cal,512.6066889701666
7.654400000000001,20170721,,50.0,245148.26763757816,107186.32379105166,mlg910,1.0,275923.887693053,cal,409.83804834603836
6.0928,20170721,,50.0,261164.414455144,107186.32379105166,mlg910,1.0,307956.18132818467,cal,457.4165774006656
6.8864,20170721,,50.0,228233.05962728863,107186.32379105166,mlg910,1.0,242093.4716724739,cal,359.58871403674306
5.1456,20170721,,50.0,203606.694940621,107186.32379105166,mlg910,1.0,192840.74229913868,cal,286.4321539039774
4.48,20170721,,50.0,243282.2041135076,107186.32379105166,mlg910,1.0,272191.7606449119,cal,404.29460780387285
5.1968000000000005,20170721,,50.0,197963.1598120984,107186.32379105166,mlg910,1.0,181553.67204209347,cal,269.66712901117796
6.8864,20170721,,50.0,243226.40274686785,110386.72926831145,mlg910,1.0,265679.3469571128,cal,394.621523903291
5.6064,20170721,,50.0,271976.8992635301,110386.72926831145,mlg910,1.0,323180.33999043726,cal,480.0294781031556
5.6832,20170721,,50.0,281823.7401347918,110386.72926831145,mlg910,1.0,342874.0217329607,cal,509.28109585030234
4.1216,20170721,,50.0,229886.78067241565,110386.72926831145,mlg910,1.0,239000.10280820838,cal,354.99404023468605
4.6080000000000005,20170721,,50.0,229019.44818651414,110386.72926831145,mlg910,1.0,237265.43783640538,cal,352.4174901848809
7.0912000000000015,20170721,,50.0,234293.4352082803,110386.72926831145,mlg910,1.0,247813.41187993772,cal,368.0847132446508
4.1472,20170721,,50.0,256813.5752877693,107312.8161550872,mlg910,1.0,299001.51826536417,cal,444.1159470567451
7.6800000000000015,20170721,,50.0,246383.2588683468,107312.8161550872,mlg910,1.0,278140.8854265192,cal,413.1310217521038
4.352,20170721,,50.0,199278.16530909753,107312.8161550872,mlg910,1.0,183930.69830802066,cal,273.1977976091016
4.7616000000000005,20170721,,50.0,233698.05616657372,105177.94342577836,mlg910,1.0,257040.2254815907,cal,381.7895769683774
6.630400000000002,20170721,,50.0,233748.03763238745,105177.94342577836,mlg910,1.0,257140.1884132182,cal,381.93805491694394
12.8768,20170721,,50.0,200276.97969548774,105177.94342577836,mlg910,1.0,190198.07253941876,cal,282.5069170359337
4.6848,20170721,,50.0,221639.62880797905,105177.94342577836,mlg910,1.0,232923.3707644014,cal,345.96808738233216
9.984,20170721,,50.0,169551.23297162284,105177.94342577836,mlg910,1.0,128746.57909168897,cal,191.23116576577277
4.1728000000000005,20170721,,50.0,192664.1932027397,103627.93304012292,mlg910,1.0,178072.52032523358,cal,264.4964696762333
2.7648,20170721,,50.0,102205.48032797569,103627.93304012292,mlg910,1.0,-2844.9054242944694,cal,-4.2256235825400745
6.9376000000000015,20170721,,50.0,285625.0909142518,103627.93304012292,mlg910,1.0,363994.3157482578,cal,540.6517037092093
4.9408,20170721,,50.0,214518.18121314637,103627.93304012292,mlg910,1.0,221780.4963460469,cal,329.41724090519193
5.0432000000000015,20170721,,50.0,188063.2899509312,103627.93304012292,mlg910,1.0,168870.71382161658,cal,250.8287497472667
5.888,20170721,,50.0,223282.33938024173,103627.93304012292,mlg910,1.0,239308.81268023758,cal,355.45257629155094
4.352,20170721,,50.0,224789.4428601734,104776.1484636541,mlg910,1.0,240026.58879303862,cal,356.5187107378264
4.4544000000000015,20170721,,50.0,204040.5963608411,104776.1484636541,mlg910,1.0,198528.89579437402,cal,294.88093935227926
3.6608,20170721,,50.0,230019.65333970345,104776.1484636541,mlg910,1.0,250487.0097520987,cal,372.0558885682151
3.4816000000000003,20170721,,50.0,299295.62623620185,107718.90893884025,mlg910,1.0,383153.43459472316,cal,569.1093191107441
3.3280000000000003,20170721,,50.0,226437.52135330922,107718.90893884025,mlg910,1.0,237437.22482893793,cal,352.6726505710998
4.7872,20170721,,50.0,247554.83299163703,107718.90893884025,mlg910,1.0,279671.8481055936,cal,415.40500666050883
5.2992,20170721,,50.0,201872.89874498523,107718.90893884025,mlg910,1.0,188307.97961228996,cal,279.6995051698439
5.2992,20170721,,50.0,226458.20763077677,107718.90893884025,mlg910,1.0,237478.59738387304,cal,352.73410247115623
4.7616000000000005,20170721,,50.0,201586.76150717173,107718.90893884025,mlg910,1.0,187735.70513666293,cal,278.8494886809847
2.9952,20180410,0.9270700874699036,25.0,151069.88155478146,96996.80257140273,mlg910,1.0,216292.3159335149,cal,321.2654814904898
3.2896,20180410,0.9458049179174858,25.0,130958.0614097474,96996.80257140273,mlg910,1.0,135845.03535337868,cal,201.7747163256175
5.4016,20180410,0.9741084112807634,25.0,155280.30698634178,96996.80257140273,mlg910,1.0,233134.01765975618,cal,346.28096755086034
4.736,20180410,0.9704527535144191,25.0,138154.94473295953,96996.80257140273,mlg910,1.0,164632.56864622718,cal,244.53370526303917
4.672,20180410,0.9697590875886152,25.0,152757.31717207422,96996.80257140273,mlg910,1.0,223042.05840268597,cal,331.2910769673147
5.76,20180410,0.9771126570899256,25.0,155007.04221172896,96996.80257140273,mlg910,1.0,232040.95856130487,cal,344.65741399998217
5.1328,20180410,0.9795421852543432,25.0,137824.00958678947,96996.80257140273,mlg910,1.0,163308.82806154696,cal,242.5675135633002
3.3280000000000007,20180410,0.9599729213225641,25.0,157986.88339487292,96996.80257140273,mlg910,1.0,243960.32329388073,cal,362.3616048925001
5.6704,20180410,0.9356682945135518,25.0,161434.85894672124,96996.80257140273,mlg910,1.0,257752.22550127405,cal,382.8471320098386
6.0032,20180410,0.968341414583732,25.0,160111.5803810907,98550.66927344204,mlg910,1.0,246243.64443059464,cal,365.7530904439762
4.1728000000000005,20180410,0.9671723408701444,25.0,166847.8275123304,98550.66927344204,mlg910,1.0,273188.6329555535,cal,405.7752922261583
4.6464,20180410,0.967040082905979,25.0,184381.9372336392,98550.66927344204,mlg910,1.0,343325.0718407887,cal,509.95105414004684
5.9008,20180410,0.9835027482647191,25.0,182129.9185767376,98550.66927344204,mlg910,1.0,334316.9972131823,cal,496.5710899926852
